station_name,station_code,group,left,top,게이트
뚝섬,210,E,527,247,"30, 31, 32, 33, 34, 35, 53"
성수,211,A,89,201,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
성수,211,B,649,206,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 51"
건대입구,212,A,150,200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 30, 31, 50, 52"
건대입구,212,B,656,202,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 51"
구의,213,A,126,156,"1, 2, 3, 4, 5, 6, 7, 8, 50, 54"
구의,213,B,124,258,"10, 11, 12, 13, 14, 15, 16, 17, 18, 53"
구의,213,C,632,153,"30, 31, 32, 33, 34, 35, 36, 37, 40, 41, 42, 45, 46, 51, 55"
구의,213,D,632,258,"20, 21, 22, 23, 24, 25, 26, 52"
강변,214,A,225,196,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 52"
강변,214,B,590,195,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 51"
잠실나루,215,A,215,105,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 50, 52"
잠실나루,215,B,603,129,"20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 51"
잠실,216,A,199,150,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 51"
잠실,216,B,199,260,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 50"
잠실,216,C,486,157,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 52"
잠실,216,D,499,268,"37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53"
신천,217,A,139,159,"10, 11, 12, 13, 14, 15, 51"
신천,217,B,141,233,"1, 2, 3, 4, 5, 6, 50"
신천,217,C,326,159,"20, 21, 22, 23, 24, 25, 26, 27, 28, 52"
신천,217,D,325,233,"30, 31, 32, 33, 34, 35, 36, 37, 38, 53"
종합운동장,218,A,264,104,"10, 11, 12, 13, 14, 15, 16, 17, 51"
종합운동장,218,B,265,213,"1, 2, 3, 4, 5, 6, 7, 8, 9, 50"
종합운동장,218,C,485,108,"20, 21, 22, 23, 24, 25, 26, 27, 28, 52"
종합운동장,218,D,486,210,"30, 31, 32, 33, 34, 35, 36, 37, 38, 53"
삼성,219,A,183,212,"2, 3, 4, 5, 6, 7, 8, 9"
삼성,219,B,571,163,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 50"
삼성,219,C,573,237,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51"
선릉,220,A,201,118,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 51"
선릉,220,B,202,236,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
선릉,220,C,536,137,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52"
선릉,220,D,536,215,"40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53"
역삼,221,A,121,134,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 51"
역삼,221,B,119,245,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 50"
역삼,221,C,494,140,"29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 52"
역삼,221,D,496,235,"39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53"
강남,222,A,143,191,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 51"
강남,222,B,430,193,"17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 52"
강남,222,C,532,194,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53"
교대,223,A,86,150,"10, 11, 12, 13, 14, 15, 16, 56"
교대,223,B,86,244,"1, 2, 3, 4, 5, 6, 7, 55"
교대,223,C,415,149,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 57"
교대,223,D,416,224,"40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 58"
서초,224,A,172,134,"10, 11, 12, 13, 14, 15, 16, 17, 51"
서초,224,B,175,216,"1, 2, 3, 4, 5, 6, 7, 8, 50"
서초,224,C,546,174,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 52"
방배,225,A,130,134,"7, 8, 9, 10, 11, 12, 51"
방배,225,B,127,239,"1, 2, 3, 4, 5, 6, 50"
방배,225,C,606,178,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 52"
사당,226,A,280,150,"13, 14, 16, 17, 18, 19, 20, 51"
사당,226,B,280,232,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 50"
사당,226,C,481,150,"21, 22, 23, 24, 25, 26, 27, 52"
사당,226,D,481,232,"30, 31, 32, 33, 34, 35, 36, 37, 38, 53"
낙성대,227,A,212,138,"10, 11, 12, 13, 14, 15, 16, 51"
낙성대,227,B,210,217,"1, 2, 3, 4, 5, 6, 7, 50"
낙성대,227,C,637,136,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 52"
낙성대,227,D,640,216,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 53"
서울대입구,228,A,279,181,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 50"
서울대입구,228,B,397,162,"20, 21, 22, 23, 24, 25, 26, 27, 28, 51"
봉천,229,A,200,167,"1, 2, 3, 4, 5, 6, 7, 8, 50"
봉천,229,B,461,160,"20, 21, 22, 23, 24, 25, 26, 51"
봉천,229,C,576,169,"30, 31, 32, 33, 34, 35, 36, 52"
신림,230,A,230,148,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
신림,230,B,233,242,"17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 50"
신림,230,C,491,188,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 51"
신대방,231,A,205,194,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 50"
신대방,231,B,609,196,"21, 22, 23, 24, 25, 26, 27, 28, 29, 51"
구로디지털단지,232,A,143,200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 50"
구로디지털단지,232,B,570,198,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 51"
대림,233,A,122,183,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
대림,233,B,640,190,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 51"
신도림,234,A,93,197,"1, 2, 3, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 50, 51"
신도림,234,B,561,208,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 52"
문래,235,A,170,160,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 52"
