code,name,file_name
150,서울,150_B1_big.jpg
150,서울,150_PF_big.jpg
151,시청,151_B2_big.jpg
151,시청,151_B1_big.jpg
151,시청,151_PF_big.jpg
152,종각,152_B1_big.jpg
152,종각,152_PF_big.jpg
153,종로3가,153_B1_big.jpg
153,종로3가,153_PF_big.jpg
154,종로5가,154_B1_big.jpg
154,종로5가,154_PF_big.jpg
155,동대문,155_B1_big.jpg
155,동대문,155_PF_big.jpg
156,신설동,156_B1_big.jpg
156,신설동,156_PF_big.jpg
157,제기동,157_B1_big.jpg
157,제기동,157_PF_big.jpg
158,청량리,158_B2_big.jpg
201,시청,201_B1_big.jpg
201,시청,201_B2_big.jpg
201,시청,201_PF_big.jpg
202,을지로입구,202_B1_big.jpg
203,을지로3가,203_B1_big.jpg
203,을지로3가,203_PF_big.jpg
204,을지로4가,204_B1_big.jpg
204,을지로4가,204_PF_big.jpg
205,동대문역사문화공원,205_B1_big.jpg
205,동대문역사문화공원,205_PF_big.jpg
206,신당,206_B1_big.jpg
206,신당,206_PF_big.jpg
207,상왕십리,207_B1_big.jpg
207,상왕십리,207_PF_big.jpg
208,왕십리,208_B1_big.jpg
208,왕십리,208_PF_BIG.jpg
209,한양대,209_2F_big.jpg
209,한양대,209_PF_big.jpg
210,뚝섬,210_2F_big.jpg
210,뚝섬,210_PF_big.jpg
211,성수,211_2F_big.jpg
211,성수,211_PF_big.jpg
212,건대입구,212_2F_big.jpg
212,건대입구,212_PF_big.jpg
213,구의,213_2F_big.jpg
213,구의,213_PF_big.jpg
214,강변,214_1F_big.jpg
214,강변,214_PF_big.jpg
215,잠실나루,215_1F_big.jpg
215,잠실나루,215_PF_big.jpg
216,잠실,216_B1_big.jpg
216,잠실,216_PF_big.jpg
217,신천,217_B1_big.jpg
217,신천,217_PF_big.jpg
218,종합운동장,218_big-1.jpg
218,종합운동장,218_PF_big.jpg
219,삼성,219_B1_big.jpg
219,삼성,219_PF_big.jpg
220,선릉,220_B1_big.jpg
221,역삼,221_B1_big.jpg
221,역삼,221_B2_big.jpg
221,역삼,221_PF_big.jpg
222,강남,222_big.jpg
222,강남,222_PF_big.jpg
223,교대,223_B1_big.jpg
223,교대,223_PF_big.jpg
224,서초,224_B1_big.jpg
224,서초,224_PF_big.jpg
225,방배,225_B1_big.jpg
225,방배,225_PF_big.jpg
226,사당,226_B1_big.jpg
226,사당,226_PF_big.jpg
227,낙성대,227_big.jpg
227,낙성대,227_PF_big.jpg
228,서울대입구,228_B1_big.jpg
228,서울대입구,228_PF_big.jpg
229,봉천,229_B1_big.jpg
229,봉천,229_PF_big.jpg
230,신림,230_B1_big.jpg
230,신림,230_PF_big.jpg
231,신대방,231_2F_big.jpg
231,신대방,231_PF_big.jpg
232,구로디지털단지,232_2F_big.jpg
232,구로디지털단지,232_PF_big.jpg
233,대림,233_2F_big.jpg
233,대림,233_PF_big.jpg
234,신도림,234_B1_big.jpg
234,신도림,234_PF_big.jpg
235,문래,235_B1_big.jpg
235,문래,235_PF_big.jpg
236,영등포구청,236_B1_big.jpg
236,영등포구청,236_PF_big.jpg
237,당산,237_2F_big.jpg
237,당산,237_PF_big.jpg
238,합정,238_B1_big.jpg
239,홍대입구,239_B1_big.jpg
240,신촌,240_B1_big.jpg
240,신촌,240_PF_big.jpg
241,이대,241_B2_big.jpg
241,이대,241_PF_big.jpg
242,아현,242_B1_big.jpg
242,아현,242_PF_big.jpg
243,충정로,243_B2_big.jpg
243,충정로,243_B1_big.jpg
243,충정로,243_PF_big.jpg
244,용답,244_1F_big.jpg
244,용답,244_PF_big.jpg
245,신답,245_PF_big.jpg
245,신답,245_2F_big.jpg
246,신설동,246_B1_big.jpg
246,신설동,246_PF_big.jpg
247,도림천,247_1F_big.jpg
247,도림천,247_2F_big.jpg
248,양천구청,248_B1_big.jpg
248,양천구청,248_PF_big.jpg
249,신정네거리,249_B2_big.jpg
249,신정네거리,249_B1_big.jpg
249,신정네거리,249_PF_big.jpg
250,용두,250_B1_big.jpg
309,지축,309_Jichuk_B1.jpg
310,구파발,310_gupabal_B1.jpg
311,연신내,311_Yeonsinnae_B1.jpg
312,불광,312_Bulgwang_B1.jpg
313,녹번,313_Nokbyeon_B1.jpg
314,홍제,314_Hongje_B1.jpg
315,무악재,315_muakjae_B1.jpg
316,독립문,316_Dongnimmun_B2.jpg
316,독립문,316_Dongnimmun_B1.jpg
317,경복궁,317_Gyeongbokgung_B2.jpg
317,경복궁,317_Gyeongbokgung_B1.jpg
318,안국,318_Anguk_B3.jpg
318,안국,318_Anguk_B2.jpg
318,안국,318_Anguk_B1.jpg
319,종로3가,319_jongno3_B1.jpg
320,을지로3가,320_Euljiro3_B1.jpg
320,을지로3가,320_Euljiro3_B2.jpg
321,충무로,321_Chungmuro_PF.jpg
322,동대입구,322_Dongdae_B2.jpg
322,동대입구,322_Dongdae_B1.jpg
323,약수,323_yaksu_B1.jpg
324,금호,324_Kumho_B1.jpg
325,옥수,325_Oksu_B3.jpg
326,압구정,326_Apgujeong_B1.jpg
327,신사,327_sinsa_B1.jpg
328,잠원,328_Jamwon_B1.jpg
329,고속터미널,329_ExpressBusTerminal_B2.jpg
330,교대,330_kyodae_B1.jpg
330,교대,330_kyodae_B2.jpg
331,남부터미널,331_NambuBusTerminal_B2.jpg
331,남부터미널,331_NambuBusTerminal_B1.jpg
332,양재,332_Yangjae_B1.jpg
333,매봉,333_maebong_B1.jpg
334,도곡,334_dogok_B1.jpg
334,도곡,334_dogok_B2.jpg
334,도곡,334_dogok_PF.jpg
